DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERME MUNICIPAL,HA ARBRADES,HA NO ARBRADES,HA NO FORESTALS,HA FORESTALS
17/07/2021,02,Alt Empordà,172214,Vilafant,0,61,230,61
17/07/2021,18,Garrigues,250096,"Albi, l'",0,4,0,4
18/07/2021,09,Baix Ebre,430136,"Ametlla de Mar, l'",0,98,11,98
18/07/2021,03,Alt Penedès,082401,Sant Sadurní d'Anoia,0,30,0,30
18/07/2021,23,Noguera,250371,"Avellanes i Santa Linya, les",214,0,0,214
19/07/2021,40,Vallès Occidental,081878,Sabadell,0,59,0,59
19/07/2021,33,Segrià,252043,Seròs,0,2,0,2
20/07/2021,02,Alt Empordà,172348,Biure,0,4,0,4
20/07/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,0,0,0
20/07/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,0,0,0
20/07/2021,11,Baix Llobregat,082634,Sant Vicenç dels Horts,72,0,0,72
20/07/2021,11,Baix Llobregat,082634,Sant Vicenç dels Horts,0,1,5,1
20/07/2021,13,Barcelonès,082457,Santa Coloma de Gramenet,0,4,0,4
20/07/2021,24,Osona,082251,Sant Martí d'Albars,9,0,0,9
20/07/2021,30,Ribera d'Ebre,430653,Garcia,3,0,0,3
21/07/2021,03,Alt Penedès,082401,Sant Sadurní d'Anoia,0,17,0,17
21/07/2021,26,Pallars Sobirà,251266,Llavorsí,15,130,0,145
21/07/2021,11,Baix Llobregat,081960,Sant Andreu de la Barca,0,22,0,22
22/07/2021,40,Vallès Occidental,082233,Sant Llorenç Savall,18,69,119,87
22/07/2021,23,Noguera,250024,Àger,0,195,479,195
22/07/2021,10,Baix Empordà,171997,Torroella de Montgrí,4291,3254,3,7545
22/07/2021,40,Vallès Occidental,080543,Castellbisbal,0,106,0,106
23/07/2021,36,Tarragonès,431482,Tarragona,0,16,0,16
24/07/2021,16,Conca de Barberà,431397,Santa Coloma de Queralt,112300,18986,38940,131286
24/07/2021,25,Pallars Jussà,252347,Tremp,0,90,0,90
24/07/2021,06,Anoia,081629,"Hostalets de Pierola, els",1,0,0,1
24/07/2021,02,Alt Empordà,172109,Ventalló,2076,125,1324,2201
24/07/2021,08,Baix Camp,430154,Arbolí,0,4,0,4
25/07/2021,11,Baix Llobregat,082634,Sant Vicenç dels Horts,0,0,0,0
25/07/2021,02,Alt Empordà,170470,Castelló d'Empúries,0,1,0,1
27/07/2021,11,Baix Llobregat,080569,Castelldefels,0,1,0,1
27/07/2021,40,Vallès Occidental,082798,Terrassa,5,0,0,5
27/07/2021,21,Maresme,082824,Tiana,0,53,0,53
27/07/2021,21,Maresme,080095,Argentona,0,23,0,23
28/07/2021,41,Vallès Oriental,082021,Sant Celoni,0,5,30,5
28/07/2021,30,Ribera d'Ebre,430939,Móra d'Ebre,1,0,0,1
28/07/2021,40,Vallès Occidental,080517,Castellar del Vallès,0,1,0,1
28/07/2021,10,Baix Empordà,171959,"Tallada d'Empordà, la",0,0,0,0
28/07/2021,36,Tarragonès,431482,Tarragona,12,80,0,92
28/07/2021,40,Vallès Occidental,082606,Santa Perpètua de Mogoda,0,3,0,3
29/07/2021,40,Vallès Occidental,081252,Montcada i Reixac,0,3,0,3
29/07/2021,20,Gironès,171557,Salt,35,43,0,78
29/07/2021,10,Baix Empordà,171175,Palafrugell,2,0,0,2
29/07/2021,11,Baix Llobregat,080898,Gavà,0,1,0,1
30/07/2021,32,Segarra,259059,Ribera d'Ondara,0,2,0,2
30/07/2021,26,Pallars Sobirà,250827,Espot,0,0,0,0
31/07/2021,23,Noguera,250791,Cubells,0,39,120,39
31/07/2021,12,Baix Penedès,431634,"Vendrell, el",0,1,0,1
31/07/2021,12,Baix Penedès,431634,"Vendrell, el",1,0,0,1
31/07/2021,02,Alt Empordà,171387,Portbou,0,3760,0,3760
31/07/2021,24,Osona,082830,Tona,12,0,0,12
31/07/2021,03,Alt Penedès,082270,Sant Martí Sarroca,0,2,0,2
31/07/2021,17,Garraf,082704,Sitges,0,4,0,4
01/08/2021,03,Alt Penedès,081458,Olèrdola,0,0,0,0
01/08/2021,16,Conca de Barberà,430542,"Espluga de Francolí, l'",1,0,0,1
01/08/2021,03,Alt Penedès,081458,Olèrdola,0,1,0,1
01/08/2021,03,Alt Penedès,081458,Olèrdola,0,4,0,4
01/08/2021,16,Conca de Barberà,430862,Montblanc,1,0,0,1
01/08/2021,06,Anoia,081043,"Llacuna, la",0,0,0,0
01/08/2021,03,Alt Penedès,080850,Font-rubí,0,3,0,3
01/08/2021,20,Gironès,170448,Cassà de la Selva,1,0,0,1
01/08/2021,03,Alt Penedès,081458,Olèrdola,0,1,0,1
01/08/2021,03,Alt Penedès,081542,Pacs del Penedès,1,0,0,1
01/08/2021,16,Conca de Barberà,430542,"Espluga de Francolí, l'",0,1,0,1
02/08/2021,18,Garrigues,250061,"Albagés, l'",10,10,50,20
03/08/2021,33,Segrià,250215,Almenar,0,31,0,31
03/08/2021,41,Vallès Oriental,080961,Granollers,15,0,0,15
04/08/2021,02,Alt Empordà,172235,Vilajuïga,0,0,0,0
05/08/2021,03,Alt Penedès,080919,Gelida,0,9,0,9
07/08/2021,01,Alt Camp,430017,Aiguamúrcia,0,16,0,16
08/08/2021,03,Alt Penedès,082732,Subirats,0,2,0,2
09/08/2021,06,Anoia,083020,Vilanova del Camí,0,10,0,10
09/08/2021,12,Baix Penedès,430516,Cunit,0,0,0,0
10/08/2021,13,Barcelonès,080193,Barcelona,0,32,0,32
10/08/2021,37,Terra Alta,430483,Corbera d'Ebre,250,0,0,250
11/08/2021,36,Tarragonès,430430,"Catllar, el",0,6,0,6
11/08/2021,33,Segrià,250208,Almatret,55,10,0,65
11/08/2021,11,Baix Llobregat,080898,Gavà,0,2,0,2
11/08/2021,41,Vallès Oriental,080961,Granollers,0,14,0,14
11/08/2021,33,Segrià,250208,Almatret,42,0,1,42
12/08/2021,06,Anoia,081043,"Llacuna, la",3,0,0,3
12/08/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,0,0,0
12/08/2021,41,Vallès Oriental,081347,Figaró-Montmany,18,0,0,18
12/08/2021,41,Vallès Oriental,081593,Parets del Vallès,2,0,0,2
12/08/2021,16,Conca de Barberà,431763,Vimbodí i Poblet,3,0,0,3
12/08/2021,23,Noguera,250426,"Baronia de Rialb, la",119,0,143,119
12/08/2021,37,Terra Alta,431107,"Pobla de Massaluca, la",4674,2080,724,6754
13/08/2021,33,Segrià,250208,Almatret,17,0,0,17
13/08/2021,10,Baix Empordà,171997,Torroella de Montgrí,3,0,0,3
13/08/2021,03,Alt Penedès,082401,Sant Sadurní d'Anoia,0,28,0,28
13/08/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,0,0,0
13/08/2021,11,Baix Llobregat,081141,Martorell,0,3,0,3
13/08/2021,06,Anoia,080288,Cabrera d'Anoia,0,3,0,3
14/08/2021,18,Garrigues,250292,Arbeca,0,0,0,0
14/08/2021,22,Montsià,430629,Freginals,0,263,0,263
15/08/2021,41,Vallès Oriental,081593,Parets del Vallès,0,0,0,0
15/08/2021,37,Terra Alta,431750,Vilalba dels Arcs,10,0,35,10
16/08/2021,19,Garrotxa,171334,"Planes d'Hostoles, les",0,2,0,2
16/08/2021,36,Tarragonès,431482,Tarragona,650,0,0,650
17/08/2021,21,Maresme,081635,Pineda de Mar,10,6,0,15
17/08/2021,20,Gironès,171426,Quart,2,0,0,2
18/08/2021,41,Vallès Oriental,080961,Granollers,0,10,0,10
18/08/2021,34,Selva,171019,Massanes,1,0,0,1
19/08/2021,15,Cerdanya,251272,Lles de Cerdanya,0,0,0,0
19/08/2021,07,Bages,082747,Súria,4,0,0,4
19/08/2021,23,Noguera,251728,Ponts,0,0,0,0
19/08/2021,07,Bages,080847,Fonollosa,20,0,0,20
19/08/2021,16,Conca de Barberà,431460,Senan,0,0,0,0
19/08/2021,23,Noguera,250426,"Baronia de Rialb, la",76,0,0,76
20/08/2021,16,Conca de Barberà,430862,Montblanc,0,0,0,0
20/08/2021,41,Vallès Oriental,081249,Mollet del Vallès,0,1,0,1
20/08/2021,04,Alt Urgell,259101,Josa i Tuixén,0,0,0,0
20/08/2021,11,Baix Llobregat,080018,Abrera,0,0,0,0
20/08/2021,09,Baix Ebre,431554,Tortosa,1,0,0,1
21/08/2021,19,Garrotxa,171621,Sant Ferriol,0,3,0,3
22/08/2021,33,Segrià,252000,Sarroca de Lleida,0,88,0,88
22/08/2021,35,Solsonès,251636,"Coma i la Pedra, la",2,0,0,2
22/08/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,0,0,0
22/08/2021,10,Baix Empordà,170486,Castell-Platja d'Aro,0,0,0,0
22/08/2021,14,Berguedà,080575,Castell de l'Areny,2,0,0,2
23/08/2021,35,Solsonès,251673,Pinós,1,0,0,1
23/08/2021,15,Cerdanya,170849,Isòvol,0,0,0,0
23/08/2021,33,Segrià,252000,Sarroca de Lleida,0,30,0,30
23/08/2021,10,Baix Empordà,170486,Castell-Platja d'Aro,2,0,0,2
23/08/2021,14,Berguedà,080497,Casserres,0,0,0,0
24/08/2021,10,Baix Empordà,170486,Castell-Platja d'Aro,1,0,0,1
24/08/2021,01,Alt Camp,431135,"Pont d'Armentera, el",0,2,0,2
24/08/2021,07,Bages,080180,Balsareny,4,0,0,4
24/08/2021,10,Baix Empordà,171609,Sant Feliu de Guíxols,0,2,0,2
25/08/2021,07,Bages,080023,Aguilar de Segarra,0,0,0,0
25/08/2021,35,Solsonès,250642,Castellar de la Ribera,2,0,0,2
25/08/2021,11,Baix Llobregat,080898,Gavà,0,2,0,2
26/08/2021,26,Pallars Sobirà,250175,Alins,0,130,0,130
26/08/2021,10,Baix Empordà,171997,Torroella de Montgrí,27,1,0,27
27/08/2021,38,Urgell,259025,Sant Martí de Riucorb,0,47,96,47
28/08/2021,41,Vallès Oriental,080961,Granollers,0,24,0,24
28/08/2021,26,Pallars Sobirà,250241,Alt Àneu,12,0,0,12
29/08/2021,25,Pallars Jussà,252347,Tremp,0,1,0,1
29/08/2021,33,Segrià,251207,Lleida,0,40,0,40
29/08/2021,20,Gironès,170792,Girona,0,0,0,0
29/08/2021,10,Baix Empordà,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",0,2,0,2
31/08/2021,14,Berguedà,081666,"Pobla de Lillet, la",2,0,0,2
03/09/2021,03,Alt Penedès,082227,Sant Llorenç d'Hortons,0,3,0,3
04/09/2021,02,Alt Empordà,170773,Garriguella,0,0,0,0
04/09/2021,07,Bages,080538,Castellbell i el Vilar,0,0,0,0
06/09/2021,06,Anoia,082508,Santa Margarida de Montbui,0,5,0,5
07/09/2021,11,Baix Llobregat,081691,"Prat de Llobregat, el",0,7,0,7
08/09/2021,41,Vallès Oriental,080863,"Franqueses del Vallès, les",0,34,0,34
08/09/2021,41,Vallès Oriental,082592,Santa Maria de Palautordera,0,8,0,8
08/09/2021,36,Tarragonès,431482,Tarragona,0,0,0,0
09/09/2021,11,Baix Llobregat,081691,"Prat de Llobregat, el",0,0,0,0
10/09/2021,12,Baix Penedès,431634,"Vendrell, el",0,14,0,14
14/09/2021,21,Maresme,081213,Mataró,0,0,0,0
16/09/2021,30,Ribera d'Ebre,430939,Móra d'Ebre,0,0,0,0
18/09/2021,23,Noguera,251569,Os de Balaguer,0,22,0,22
18/09/2021,10,Baix Empordà,171181,Palamós,3,0,0,3
19/09/2021,33,Segrià,250365,Aspa,0,5,0,5
21/09/2021,11,Baix Llobregat,080018,Abrera,0,6,0,6
25/09/2021,29,Priorat,430751,Margalef,0,0,0,0
25/09/2021,38,Urgell,252385,Vallbona de les Monges,0,10,0,10
25/09/2021,38,Urgell,252385,Vallbona de les Monges,0,12,0,12
25/09/2021,23,Noguera,250404,Balaguer,0,4,0,4
25/09/2021,24,Osona,082690,Seva,0,0,0,0
02/10/2021,10,Baix Empordà,171978,Torrent,6,0,0,6
09/10/2021,10,Baix Empordà,170340,Calonge i Sant Antoni,0,0,0,0
09/10/2021,08,Baix Camp,430094,Alforja,0,2,0,2
09/10/2021,10,Baix Empordà,170340,Calonge i Sant Antoni,0,0,0,0
11/10/2021,18,Garrigues,250978,Fulleda,5,12,20,17
12/10/2021,41,Vallès Oriental,081056,"Llagosta, la",0,95,0,95
13/10/2021,10,Baix Empordà,171997,Torroella de Montgrí,1,0,0,1
13/10/2021,10,Baix Empordà,171997,Torroella de Montgrí,5,0,0,5
13/10/2021,10,Baix Empordà,171997,Torroella de Montgrí,15,0,0,15
14/10/2021,02,Alt Empordà,171117,Navata,2,0,0,2
17/10/2021,18,Garrigues,250292,Arbeca,0,22,0,22
17/10/2021,38,Urgell,250463,Belianes,0,100,0,100
20/10/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,0,0,0
20/10/2021,18,Garrigues,250096,"Albi, l'",0,4,0,4
20/10/2021,16,Conca de Barberà,430862,Montblanc,0,8,0,8
21/10/2021,23,Noguera,250693,Castelló de Farfanya,10,90,0,100
23/10/2021,02,Alt Empordà,170643,Espolla,15,0,20,15
23/10/2021,38,Urgell,250030,Agramunt,43,0,107,43
23/10/2021,23,Noguera,250024,Àger,0,12,0,12
25/10/2021,16,Conca de Barberà,431763,Vimbodí i Poblet,0,2,4,2
25/10/2021,10,Baix Empordà,170340,Calonge i Sant Antoni,0,0,0,0
26/10/2021,02,Alt Empordà,171582,Sant Climent Sescebes,0,55,0,55
27/10/2021,02,Alt Empordà,170427,Capmany,120,0,0,120
28/10/2021,38,Urgell,251095,Guimerà,200,0,7,200
03/11/2021,16,Conca de Barberà,431460,Senan,9,0,0,9
03/11/2021,16,Conca de Barberà,430542,"Espluga de Francolí, l'",15,35,42,50
06/11/2021,11,Baix Llobregat,080569,Castelldefels,0,2,0,2
06/11/2021,24,Osona,081173,"Masies de Voltregà, les",25,10,0,35
07/11/2021,02,Alt Empordà,170160,Bàscara,9,0,0,9
07/11/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,1457,0,1457
07/11/2021,25,Pallars Jussà,259046,Castell de Mur,0,5,0,5
07/11/2021,19,Garrotxa,171621,Sant Ferriol,0,15,0,15
07/11/2021,10,Baix Empordà,171812,Santa Cristina d'Aro,1,0,0,1
09/11/2021,40,Vallès Occidental,082798,Terrassa,0,10,0,10
09/11/2021,34,Selva,170084,Anglès,0,0,0,0
13/11/2021,13,Barcelonès,080193,Barcelona,0,60,0,60
19/11/2021,25,Pallars Jussà,250019,Abella de la Conca,0,1,0,1
27/11/2021,30,Ribera d'Ebre,430607,Flix,0,1,0,1
28/11/2021,11,Baix Llobregat,080569,Castelldefels,12,0,0,12
07/12/2021,25,Pallars Jussà,250984,Gavet de la Conca,0,15,0,15
07/12/2021,04,Alt Urgell,251556,Organyà,0,0,0,0
08/12/2021,03,Alt Penedès,080919,Gelida,0,15,0,15
08/12/2021,40,Vallès Occidental,081252,Montcada i Reixac,0,0,0,0
08/12/2021,11,Baix Llobregat,080569,Castelldefels,2,0,0,2
10/12/2021,12,Baix Penedès,431634,"Vendrell, el",9,0,0,9
10/12/2021,34,Selva,171805,Santa Coloma de Farners,5,0,0,5
11/12/2021,22,Montsià,430786,Masdenverge,0,12,0,12
11/12/2021,38,Urgell,250030,Agramunt,0,5,0,5
15/12/2021,03,Alt Penedès,082270,Sant Martí Sarroca,0,6,0,6
16/12/2021,20,Gironès,171557,Salt,2,0,0,2
16/12/2021,04,Alt Urgell,250772,Coll de Nargó,1,0,0,1
16/12/2021,10,Baix Empordà,170139,Begur,0,0,0,0
21/12/2021,31,Ripollès,170963,Les Lloses,0,10,0,10
23/12/2021,02,Alt Empordà,170470,Castelló d'Empúries,1,0,0,1
29/12/2021,08,Baix Camp,430094,Alforja,0,75,0,75
29/12/2021,21,Maresme,082140,Vilassar de Dalt,1,0,0,1
30/12/2021,12,Baix Penedès,431378,Sant Jaume dels Domenys,0,5,0,5
28/03/2022,9321,Sant Monica,932,Baix pallares,1,1,0,1,1
